creaturename,nametotype,bodyid,hues,notoriety,slayers,oppositeslayers,barddiff,physical,fire,cold,poison,energy,hitpoints,stamina,mana,str,dex,int,wrestling,tactics,resspell,anatomy,poisoning,healing,magery,evalint,meditation,tamable,halfstat,eightstat,isboss,ismount,location,specials,damage,slots,multislot,isneutral,innatemagery,innatenecro,innatepoisoning,innatemysticism,
kaze kemono,,196,0,4,Elemental,Demon,87.3,50-70,30-60,30-60,50-70,60-80,250-310,100-155,100-110,205-275,100-155,100-110,85-95,55-65,110-120,25-35,0-0,0-0,95-105,0-0,0-0,,,,,,,,,,,,,,,,
kepetch,,726,0,4,Reptile-Snake,Arachnid,87.9,55-75,40-60,35-55,50-70,55-75,300-400,165-225,30-45,325-365,165-225,30-45,100-115,120-130,80-100,115-130,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
kepetch ambusher,,727,0-33018,4,Reptile-Snake,Arachnid,97.9,60-75,50-60,45-55,50-70,55-75,520-565,210-275,40-55,435-465,210-275,40-55,100-120,100-115,90-100,105-115,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ki-rin,,132,0,2,Fey,Demon,84.7,55-65,35-45,25-35,25-35,25-35,191-210,96-115,186-225,296-325,96-115,186-225,80-95,20-25,85-100,0-0,0-0,0-0,60-100,85-90,90-100,95.1,,,,true,,1002106,16-22,2-5,,,true,,,,
korpre,,51,2069-2070-2071,7,Demon,Elemental-Fey,Immune,0-50,0-50,0-50,100-100,0-50,30-370,15-25,15-25,25-35,15-25,15-25,10-25,10-25,10-20,10-20,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
kraken,,77,0,4,None,None,81.7,45-55,30-40,30-40,20-30,10-20,450-470,225-245,0-0,755-780,225-245,25-40,45-60,45-60,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lady jennifyr,,147,1901,4,Undead,Repond,135.5,55-65,40-50,70-80,40-50,50-60,1100-1420,90-135,45-105,210-315,90-135,45-105,125-140,125-145,100-115,125-140,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lady lissith,,157,1106,4,Arachnid-Spider,Reptile,92.2,50-50,35-40,30-35,75-80,35-40,255-260,115-150,70-100,80-90,115-150,70-75,110-155,100-110,85-90,75-110,115-120,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lady marai,,147,33,4,Undead,Repond,113.8,55-65,40-50,70-80,40-50,50-60,625-930,90-130,55-100,230-320,90-130,55-100,130-140,125-145,100-120,125-140,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lady melisande,,258,0,4,Fey,Demon,160,45-55,40-50,55-65,70-75,70-80,30000-30000,340-345,1680-1680,420-980,340-345,1680-1680,100-105,100-105,120-120,0-0,0-0,0-0,120-120,120-120,120-120,,,,true,,,,,,,,,,,,
lady of the snow,,252,0,4,Undead-Ice,Repond,111.4,45-55,40-55,70-90,60-70,70-85,595-625,105-125,470-490,275-305,105-125,470-490,85-100,85-100,90-105,0-0,0-0,0-0,95-110,0-0,85-90,,,,,,,,,,,,,,,,
lady sabrix,,157,1175,4,Arachnid-Spider,Reptile,95.1,45-50,35-40,35-40,75-80,35-40,320-320,125-135,90-90,115-120,125-130,90-90,110-125,105-115,90-100,85-95,100-105,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lava elemental,,720,0,4,Elemental-Fire,Demon,106,60-70,20-30,20-30,100-100,40-50,255-310,170-185,360-410,440-515,170-185,360-410,70-90,90-100,90-115,0-0,0-0,0-0,80-95,80-95,85-110,,,,,,,,,,,,,,,,
lava lizard,,206,LavaLizardHue,4,Flame,None,58.8,35-45,30-45,0-0,25-35,25-35,76-90,56-75,0-0,126-150,56-75,20-Nov,60-80,60-80,55-70,0-0,0-0,0-0,0-0,0-0,0-0,80.7,,,,,,1157414,6-24,1-4,,,,,,,
lava serpent,,90,0,4,Reptile-Snake-Fire,Arachnid,75.5,35-45,70-80,0-0,30-40,10-20,230-250,55-80,0-0,385-415,55-80,65-85,60-80,65-70,25-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lava snake,,52,1607-1616-1625-1634-1643-1652,4,Reptile-Snake-Fire,Arachnid,26.5,20-25,30-40,0-0,20-30,10-20,25-35,15-25,0-0,40-55,15-25,5-10,15-35,15-35,15-20,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
leather wolf,,739,0,7,None,None,72,35-45,10-20,20-25,10-20,10-15,90-180,100-125,20-35,100-125,100-125,20-35,50-75,50-70,55-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
leather wolf,,739,0,4,None,None,72,35-45,10-20,20-25,10-20,10-15,90-180,100-125,20-35,100-125,100-125,20-35,50-75,50-70,55-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lesser hiryu,,243,0-33428-33429-34769-33459-34069,4,Reptile-Dragon,Arachnid,96.9,45-70,60-80,5-15,30-40,30-40,400-600,170-270,60-60,300-410,170-270,300-325,100-110,100-120,85-100,75-80,0-0,0-0,0-0,0-0,0-0,98.7,true,,,true,,1028843-1157400,18-23,1-5,,,,,,,
lesser oni,,241,0,4,Demon,Elemental-Fey,140.0,64-64,68-68,92-92,91-91,82-82,520-520,350-350,185-185,179-179,123-123,73-73,157.1-157.1,157.1-157.1,151.3-151.3,157.1-157.1,0-0,0-0,151.3-151.3,151.3-151.3,151.3-151.3,,,,,,,,,,,,,,,,
leviathan,,77,1153,4,None,None,160,55-65,45-55,45-55,35-45,25-35,1600-1600,500-570,500-570,1000-1100,500-570,500-570,95-110,95-110,95-110,0-0,0-0,0-0,95-110,100-110,95-110,,,,true,,,,,,,,,,,,
lich,,24,0,4,Undead-Mage,Repond,84.8,40-60,20-30,50-60,55-65,40-50,100-120,125-145,275-305,170-200,125-145,275-305,0-0,70-90,80-100,0-0,0-0,0-0,70-80,100-100,85-95,,,,,,,,,,,,,,,,
lich lord,,79,0,4,Undead-Mage,Repond,106.4,40-50,30-40,50-60,50-60,40-50,250-305,145-165,565-655,415-505,145-165,565-655,60-80,50-70,150-200,0-0,0-0,0-0,90-100,95-100,0-0,,,,,,,,,,,,,,,,
lifestealer,,303,2606,4,Demon,Elemental,160,45-55,25-35,15-25,60-70,40-50,4650-4700,130-140,210-240,223-233,130-140,210-240,80-100,75-85,90-100,0-0,0-0,0-0,90-100,90-95,90-100,,,,,,,,,,,,,,,,
lion,,1426,0,4,None,None,70,55-65,30-40,30-40,30-40,25-30,352-360,204-220,113-139,702-728,204-220,113-139,85-95,100-105,85-100,0-0,0-0,0-0,0-0,0-0,0-0,96,true,,,,,1028838-1075829-1157458-1157559,16-22,2-5,,,,,,,
lizardman,IsLizardman,35-36,0,4,Reptile-Lizardman,Arachnid,50.3,25-30,5-10,5-10,10-20,0-0,55-75,85-105,35-60,95-120,85-105,35-60,50-70,55-80,35-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lizardman witchdoctor,,35-36,0,4,Reptile-Lizardman,Arachnid,80,40-50,20-30,40-50,40-50,30-40,55-75,85-105,35-60,95-120,85-105,35-60,50-70,55-80,35-60,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
llama,,220,0,4,None,None,17,15-20,0-0,0-0,0-0,0-0,15-30,35-55,0-0,20-50,35-55,15-30,15-30,15-30,15-20,0-0,0-0,0-0,0-0,0-0,0-0,35.1,,,,,,,3-5,1-3,,true,,,,,
lord oaks,,175,0,4,Fey,Demon,160,85-90,60-70,60-70,80-90,80-90,3000-3000,200-400,500-800,400-850,100-150,500-800,100-100,100-100,100-150,75-100,0-0,0-0,120-120,125-130,120-130,,,,true,,,,,,,,,,,,
lowland boura,,715,0,4,Bovine,None,88.6,50-60,30-40,10-20,30-40,30-40,410-600,75-95,20-30,340-450,75-95,20-30,90-100,80-90,70-80,80-90,0-0,0-0,0-0,0-0,0-0,29.1,,,,,,,18-23,2-3,,,,,,,
lurg,,267,1109,4,Repond,Undead,160,50-55,40-50,55-60,50-60,40-60,3045-3230,145-180,85-105,585-650,145-180,85-105,105-135,105-130,70-90,95-130,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
lysander gathenwale,,400,34872,7,None,None,85.5,35-45,25-30,50-60,25-35,25-35,180-210,70-80,225-265,110-120,70-80,120-130,80-90,90-100,80-90,0-0,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
maddening horror,,721,0,4,none,none,136.7,55-65,20-30,50-60,40-50,50-60,520-660,90-115,800-890,250-320,90-115,800-890,70-100,90-100,175-195,0-0,0-0,0-0,120-130,120-130,100-110,,,,,,,,,,,,,,,,
magma lizard,,206,1607-1616-1625-1634-1643-1652,4,Reptile-Fire,Arachnid,100,68-68,76-76,58-58,37-37,64-64,303-303,480-480,168-168,167-167,218-218,110-110,140.2-140.2,140.2-140.2,133.8-133.8,140.2-140.2,137.2-137.2,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
magma lizard,,206,1607-1616-1625-1634-1643-1652,4,Fire,None,160,96-96,97-97,94-94,95-95,97-97,3196-3196,6329-6329,2111-2111,581-581,1044-1044,316-316,159.7-159.7,159.7-159.7,159.5-159.5,159.7-159.7,0-0,0-0,0-0,0-0,0-0,,,,,,covetous prison,,,,,,,,,,
malefic,,11,1109,4,Arachnid-Spider,Reptile,126.6,60-60,40-45,45-50,100-100,45-50,655-655,175-180,365-370,220-225,175-180,365-370,100-105,95-100,85-90,0-0,120-120,0-0,105-110,105-110,15-20,,,,,,,,,,,,,,,,
mantra effervescence,,273,0,4,None,None,93.8,60-65,45-50,45-50,50-60,100-100,150-240,120-130,190-230,135-150,120-130,190-230,80-85,80-85,105-115,0-0,0-0,0-0,95-110,80-90,90-100,,,,,,,,,,,,,,,,
master jonath,,148,1109,4,Undead,Repond,132.5,55-60,40-50,70-80,40-50,50-60,865-970,75-100,240-260,100-130,75-100,240-260,80-90,80-95,90-110,0-0,0-0,0-0,100-105,100-105,0-0,,,,,,,,,,,,,,,,
master mikael,,148,2301,4,Undead,Repond,130.9,55-60,40-50,70-80,40-50,50-60,780-1015,65-105,225-285,80-130,60-105,225-255,75-90,75-95,90-110,0-0,0-0,0-0,95-110,100-110,0-0,,,,,,,,,,,,,,,,
master theophilus the necromancer,,125-126,0,7,Repond,Undead,145.4,55-60,50-60,50-60,50-60,50-60,825-875,260-305,410-450,160-190,260-305,410-450,65-105,110-120,125-135,0-0,0-0,0-0,135-145,125-135,130-135,,,,,,,,,,,,,,,,
medusa,,728,0,4,Repond,Undead,160,55-65,50-60,55-65,70-90,65-75,50000-50000,115-150,570-670,1390-1480,115-150,570-670,110-130,120-140,120-120,110-120,0-0,0-0,105-125,105-130,100-100,,,,true,,,,,,,,,,,,
meer captain,,773,0,2,Repond,Undead,77.5,45-55,10-20,40-50,35-45,35-45,55-70,185-200,95-110,95-110,185-200,95-110,80-90,90-100,90-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
meer eternal,,772,0,2,Repond,Undead,109.4,45-55,15-25,45-55,30-40,30-40,250-305,145-165,565-655,415-505,145-165,565-655,60-80,50-70,150-200,0-0,0-0,0-0,90-100,95-100,90-100,,,,,,,,,,,,,,,,
meer mage,,770,0,2,Repond,Undead,86.6,45-55,15-25,50-50,25-35,25-35,100-120,125-145,275-305,170-200,125-145,275-305,60-80,70-90,80-100,0-0,0-0,0-0,70-80,100-100,85-95,,,,,,,,,,,,,,,,
meer warrior,,771,0,2,Repond,Undead,65.9,35-45,5-15,30-40,25-35,25-35,50-60,185-200,85-100,85-100,185-200,85-100,90-100,90-100,90-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mephitis,,173,0,4,Arachnid-Spider,Reptile,160,75-80,60-70,60-70,100-100,60-70,3000-3000,105-600,400-600,505-1000,100-300,400-600,95-100,95-100,70-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
meraktus the tormented,,263,2101,4,Bovine,None,160.0,70-75,75-80,45-50,55-60,55-60,4120-4125,335-340,125-130,1550-1550,335-340,125-130,105-105,100-105,110-115,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
miasma,,48,2301,4,Arachnid-Scorpion,Reptile,125.2,50-55,40-45,50-55,70-80,40-45,490-1875,145-430,260-365,255-850,145-430,260-365,60-75,95-115,70-80,0-0,125-145,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
minion of scelestus,,9,1159,4,Demon,Elemental,160,55-65,50-50,100-100,100-100,50-50,30000-30000,175-195,200-225,375-405,175-195,200-225,100-120,100-120,130-140,0-0,120-120,0-0,115-125,100-110,0-0,,,,,,,,,,,,,,,,
minotaur,,263,0,4,Repond-Bovine,Undead,89.1,55-65,25-35,30-40,30-40,30-40,300-335,90-110,30-50,300-325,90-110,30-50,80-100,80-100,55-65,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
minotaur captain,,280,0,4,Bovine,None,95.2,65-75,35-45,40-50,40-50,40-50,400-430,90-110,30-50,400-425,90-110,30-50,90-110,90-110,65-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
minotaur general,,280,0,4,Repond-Bovine,Undead,124.2,75-85,55-65,60-70,60-70,60-70,920-1010,135-150,80-100,600-625,135-150,80-100,100-125,100-125,85-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
minotaur scout,,281,0,4,Bovine,None,92.2,55-65,25-35,30-40,30-40,30-40,350-380,110-130,30-50,350-375,110-130,30-50,85-105,85-105,60-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mistral,,13,924,4,Elemetal-Air Elemental,Demon,107.1,45-55,35-45,30-40,30-40,50-60,450-610,230-270,140-180,150-240,230-270,140-180,95-110,95-110,95-110,0-0,0-0,0-0,95-110,95-115,20-50,,,,,,,,,,,,,,,,
moloch,,785,0,4,Demon,Elemental-Fey,72.5,60-70,60-70,40-50,20-30,20-30,170-200,65-85,40-65,330-360,65-85,40-65,70-90,75-90,65-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
molten earth elemental,,14,442,4,Elemental-Earth Elemental,Demon,110,50-65,50-60,40-50,55-65,50-60,1250-1350,75-95,90-110,450-530,75-95,90-110,120-120,100-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mongbat,,39,0,4,Bat,None,9.9,5-10,0-0,0-0,0-0,0-0,0-10,25-40,0-0,5-10,25-40,5-15,5-10,5-10,5-15,0-0,0-0,0-0,0-0,0-0,0-0,-18.9,,,,,,,1-2,1-2,,,,,,,
monstrous interred grizzle,,259,0,4,None,None,160,45-55,75-85,55-65,35-40,65-75,50000-50000,140-145,705-710,1195-1210,140-145,705-710,110-120,115-120,120-120,0-0,0-0,0-0,100-100,100-100,0-100,,,,true,,,,,,,,,,,,
morg bergen,,400,34198,7,None,None,73,35-45,25-30,50-60,25-35,25-35,180-210,110-120,0-0,110-120,110-120,50-60,0-0,90-100,80-90,90-100,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
moug-guur,,18,0,7,Repond,Undead,47.2,60-65,15-20,40-50,20-25,15-25,555-560,80-90,60-75,555-560,80-90,60-75,90-100,80-85,70-75,0-0,0-0,0-0,70-0,70-80,0-0,,,,,,,,,,,,,,,,
mound of maggots,,319,0,7,None,None,Immune,90-90,0-0,0-0,100-100,0-0,60-70,60-70,0-0,60-70,60-70,10-10,50-60,50-50,0-0,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mountain goat,,88,0,4,None,None,26,10-20,5-10,10-20,10-15,10-15,20-35,55-75,0-0,20-65,55-75,15-30,25-45,25-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,-0.9,,,,,,,3-7,1-3,,true,,,,,
mud elemental,,14,542,4,Elemental-Earth Elemental,Demon,100,55-65,55-65,45-55,55-60,50-60,690-800,75-95,90-120,460-520,75-95,90-120,120-120,100-100,100-100,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mud pie,,779,2012,4,Elemental,Demon,60,30-40,30-40,30-40,35-45,40-40,270-350,75-95,90-120,150 -210,75-95,90-120,60-85,60-85,60-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
mummy,,154,0,4,Undead,Repond,63.1,45-55,10-20,50-60,20-30,20-30,205-225,70-90,25-40,345-370,70-90,25-40,35-50,35-50,15-40,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
myrmidex drone,,1402,0,4,Myrmidex-Eodon,Tigers,40,0-5,0-5,0-5,0-5,0-5,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
myrmidex larvae,,1293,0,4,Myrmidex-Eodon,Tigers,50,0-5,0-5,0-5,0-5,0-5,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
myrmidex warrior,,1403,0,4,Myrmidex-Eodon,Tigers,40,0-5,0-5,0-5,5-10,0-5,50-65,170-195,75-100,95-120,170-195,75-100,80-80,70-70,150-150,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
najasaurus,,1289,0,4,Dinosaur-Eodon-Reptile,Myrmidex,160,45-55,50-60,45-55,100-100,35-45,737-854,150-150,21-40,162-346,151-218,21-40,40-60,40-60,25-40,0-0,80-80,0-0,0-0,0-0,0-0,102,,,,,,1002122,13-24,2-5,4300,,,,true,,
nature's fury,,51,16385,7,None,None,71,90-90,0-0,0-0,0-0,0-0,80-80,250-250,0-0,150-150,150-150,100-100,90-90,100-100,70-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
navrey night-eyes,,735,0,7,Arachnid-Spider,Reptile,160,55-65,45-55,60-70,100-100,65-75,35000-35000,185-250,150-245,985-1180,185-250,150-245,90-100,90-100,105-135,25-50,100-100,0-0,95-100,90-100,25-50,,,,true,,,,,,,,,,,,
neira the necromancer,,401,33772,7,None,None,160,25-30,35-45,50-60,30-40,20-30,4800-4800,100-300,505-750,305-425,70-150,505-750,95-100,95-100,150-150,0-0,0-0,0-0,120-120,120-120,120-120,,,,true,,,,,,,,,,,,
night terror,,780,2963,4,None,None,160,20,20,20,20,20,,45-65,655-1045,385-470,45-65,655-1043,110-110,120-120,90-95,0-0,120-120,0-0,100-100,110-110,0-0,,,,,,,,,,,,,,,,
nightmare legacy,,116-177-178-179,0-1910,4,None,None,85.2,55-65,30-40,30-40,30-40,20-30,298-315,86-125,86-125,496-525,86-125,86-125,80-95,95-100,85-100,0-0,0-0,0-0,10-50,30-50,0-0,95.1,,,,true,,1157414-1002106,16-22,2-5,,,true,,,,
nightmare,,116-177-178-179,0-1910,4,None,None,85.2,55-65,30-40,30-40,30-40,20-30,298-315,86-106,86-125,250-525,86-106,86-125,80-95,95-100,85-100,0-0,0-0,0-0,10-50,30-50,0-0,95.1,,,,true,,1157414-1002106,16-22,2-5,4254,,true,,,,
niporailem the thief,,722,0,7,Undead,Repond,160,30-50,0-0,30-50,100-100,30-50,10000-10000,1200-1200,1200-1200,1000-1000,1200-1200,1200-1200,50-80,60-80,70-90,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
ogre,,1,0,4,Repond-Ogre,Undead,48.8,30-35,15-25,15-25,15-25,25-25,100-120,45-65,0-0,165-195,45-65,45-70,70-80,60-70,55-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ogre bonecrusher,,1,0,4,Repond-Ogre,Undead,90,40-50,20-30,40-50,40-50,30-40,200-300,45-65,0-0,165-195,45-65,45-70,70-80,60-70,55-70,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ogre lord,,83,0,4,Repond-Ogre,Undead,90,45-55,30-40,30-40,40-50,40-50,475-555,65-75,45-70,765-945,65-75,45-70,90-100,90-100,125-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
oni,,241,0,4,Demon,Elemental-Fey,106.5,65-80,50-70,35-50,45-70,45-65,400-530,150-200,170-200,800-905,150-200,170-200,90-100,85-100,85-100,85-95,0-0,0-0,95-110,110-125,25-45,,,,,,,,,,,,,,,,
ophidian apprentice mage,,85,0,4,Reptile-Ophidian,Arachnid,80.5,25-35,30-40,35-45,40-50,35-45,105-125,190-215,95-120,180-205,190-215,95-120,20-60,65-90,75-100,0-0,0-0,0-0,85-100,90-100,0-0,,,,,,,,,,,,,,,,
ophidian avenger,,86,0,4,Reptile-Ophidian,Arachnid,86.6,35-40,30-40,35-45,90-100,35-45,265-345,165-175,0-0,415-595,165-175,45-70,90-100,90-100,65-80,0-0,60-80,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ophidian enforcer,,86,0,4,Reptile-Ophidian,Arachnid,73.6,35-40,20-30,25-35,30-40,25-35,125-155,90-190,0-0,150-320,90-190,60-160,0-0,75-90,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ophidian justicar,,85,0,4,Reptile-Ophidian,Arachnid,81.5,40-45,20-30,25-35,35-40,25-35,165-185,35-45,225-250,280-305,190-215,225-250,20-60,65-90,75-100,0-0,0-0,0-0,95-100,95-100,0-0,,,,,,,,,,,,,,,,
ophidian knight-errant,,86,0,4,Reptile-Ophidian,Arachnid,86.2,35-40,30-40,35-45,90-100,35-45,265-345,165-175,0-0,415-595,165-175,45-70,90-100,90-100,65-80,0-0,60-80,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ophidian matriarch,,87,0,4,Reptile-Ophidian,Arachnid,97.1,45-55,30-40,35-45,40-50,35-45,250-305,95-115,365-455,415-505,95-115,365-455,60-80,50-70,90-100,0-0,0-0,0-0,90-100,95-100,5-25,,,,,,,,,,,,,,,,
ophidian shaman,,85,0,4,Reptile-Ophidian,Arachnid,80.7,25-35,30-40,35-45,40-50,35-45,105-125,190-215,95-120,180-205,190-215,95-120,20-60,65-90,75-100,0-0,0-0,0-0,85-100,90-100,0-0,,,,,,,,,,,,,,,,
ophidian warrior,,86,0,4,Reptile-Ophidian,Arachnid,74,35-40,20-30,25-35,30-40,25-35,125-155,90-190,0-0,150-320,90-190,60-160,0-0,75-90,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
ophidian zealot,,85,0,4,Reptile-Ophidian,Arachnid,81.8,40-45,20-30,25-35,35-40,25-35,165-185,35-45,225-250,280-305,190-215,225-250,20-60,65-90,75-100,0-0,0-0,0-0,95-100,95-100,0-0,,,,,,,,,,,,,,,,
orc,IsOrc,7,0,4,Repond-Orc,Undead,49.1,25-30,20-30,10-20,10-20,20-30,55-75,80-105,35-60,95-120,80-105,35-60,50-70,55-80,50-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc bomber,,182,0,4,Repond-Orc,Undead,70.9,25-35,30-40,15-25,15-20,25-30,95-125,90-115,60-85,145-215,90-115,60-85,60-85,75-90,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc brute,,189,0,4,Repond-Orc,Undead,94.3,45-55,40-50,25-35,25-35,25-35,475-555,65-75,45-70,765-945,65-75,45-70,90-100,90-100,125-140,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc captain,,7,0,4,Repond-Orc,Undead,71.7,30-35,10-20,15-25,5-10,5-10,65-90,100-135,85-110,110-145,100-135,85-110,0-0,85-100,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc chopper,,7,0,2413,Repond-Orc,Undead,67.3,25-35,30-40,15-25,15-20,25-30,95-140,90-115,60-85,145-245,90-115,60-85,60-85,75-90,60-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc footsoldier,,17,0,4,Repond-Orc,Undead,80,40-50,20-30,40-50,40-50,30-40,55-120,80-105,35-60,95-120,80-105,35-60,50-70,55-80,50-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc scout,,181,0,4,Repond-Orc,Undead,57.9,25-35,30-40,15-25,15-20,25-30,55-75,100-130,30-60,95-120,100-130,35-60,0-0,55-80,50-75,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orc ship captain,,7,0,4,Repond-Orc,Undead,71.7,30-35,10-20,15-25,5-10,5-10,65-90,100-135,85-110,110-145,100-135,85-110,0-0,85-100,70-85,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orcish lord,,139,0,4,Repond-Orc,Undead,80,80-90,80-85,80-85,85-90,80-85,95-125,90-115,60-85,145-215,90-115,60-85,0-0,100-110,75-90,70-85,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,
orcish mage,,140,0,4,Repond-Orc-Mage,Undead,73.2,25-35,30-40,20-30,30-40,30-40,70-90,90-115,160-185,115-150,90-115,160-185,40-50,50-65,60-75,0-0,0-0,0-0,60-75,65-75,0-0,,,,,,,,,,,,,,,,
orcish mage sea,,140,7,4,Repond-Orc-Mage,Undead,73.2,85-90,85-90,85-90,85-90,85-90,100-145,110-130,185-195,115-150,90-115,185-195,60-70,70-90,90-100,0-0,0-0,0-0,90-100,90-100,20-30,,,,,,,,,,,,,,,,
ortanord,,165,2069-2070-2071,7,Demon,Elemental-Fey,Immune,90-90,90-90,90-90,90-90,90-90,100-100,50-50,1000-1000,50-50,50-50,50-50,15-20,15-20,100-105,0-0,0-0,0-0,105-110,0-0,20-20,,,,,,,,,,,,,,,,
osiredon the scalis enforcer,,1068,0,4,None,None,160,80-90,80-90,85-95,80-90,80-90,55000-55000,100-165,4000-4000,790-900,100-165,125-140,120-130,120-130,120-130,0-0,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
ossein ram,,1425,0,4,None,None,70,50-60,10-20,40-50,30-40,40-50,400-480,80-120,101-150,330-450,80-120,101-150,15-20,15-20,100-105,0-0,0-0,0-0,105-110,0-0,20-20,72,true,,,,,1157562-1028842-1157424-1028846-1157458,18-23,2-5,,,,true,,,
ozymandias the lord of castle barataria,,400,SkinHue,7,None,None,160,60-70,20-30,60-70,60-70,60-70,9500-10000,225-250,225-250,150-200,225-250,225-250,150-150,120-130,110-120,100-100,0-0,0-0,0-0,0-0,0-0,,,,true,,,,,,,,,,,,
pack horse,,291,0,4,None,None,32.9,20-25,10-15,20-25,10-15,10-15,60-80,80-100,0-0,40-120,35-55,5-10,25-45,25-45,25-30,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,,,,5-11,1-3,,,,,,,
pack llama,,292,0,4,None,None,24.2,5-10,5-10,10-15,5-10,5-10,50-50,85-105,0-0,50-80,35-55,15-30,15-30,15-30,15-20,0-0,0-0,0-0,0-0,0-0,0-0,29.1,,,,,,,3-5,1-3,,,,,,,
panther,,214,2305,4,None,None,36.5,20-25,5-10,10-15,5-10,0-0,35-55,85-105,0-0,60-85,85-105,25-50,50-65,50-65,15-30,0-0,0-0,0-0,0-0,0-0,0-0,53.1,,,,,,,4-12,1-3,,true,,,,,
